Source;Target;Weight
11;10;13
11;27;1
11;15;6
11;22;5
11;17;6
11;25;4
11;18;7
11;23;1
11;34;12
11;1;1
11;3;2
11;7;5
10;11;13
10;25;2
10;27;3
10;15;12
10;22;13
10;17;7
10;23;1
10;18;5
10;34;10
10;1;2
10;3;2
10;7;5
12;11;2
12;15;1
15;11;6
15;10;12
15;12;2
15;22;5
15;17;3
15;25;12
15;18;2
15;1;6
15;3;2
15;27;1
15;7;10
22;11;5
22;10;9
22;27;1
22;15;11
22;17;9
22;25;8
22;18;11
22;34;7
22;1;4
22;3;3
22;7;3
17;11;5
17;10;6
17;15;1
17;22;3
17;25;2
17;18;5
17;34;14
17;1;1
17;7;1
25;11;2
25;10;7
25;12;1
25;15;12
25;22;4
25;17;1
25;18;9
25;34;3
25;1;5
25;3;4
25;7;2
18;11;9
18;10;4
18;12;3
18;15;2
18;22;5
18;17;13
18;25;4
18;34;13
18;1;12
18;3;1
18;27;3
23;11;1
23;3;2
34;11;14
34;10;7
34;27;5
34;15;3
34;22;17
34;17;9
34;25;1
34;18;12
34;1;1
34;3;1
34;7;4
1;11;1
1;25;6
1;15;3
1;22;5
1;18;15
1;34;4
1;3;1
1;7;3
3;11;5
3;10;2
3;27;5
3;15;1
3;17;2
3;34;2
3;7;3
27;10;5
27;15;1
27;22;2
27;23;2
27;34;6
27;7;1
7;11;2
7;10;10
7;15;8
7;17;2
7;22;2
7;1;1
7;3;3
