1, Silvio Proto, GK
26, Nicaise Kudimbana, GK
33, Davy Roef, GK
2, Fabrice N'Sakala, DEF
3, Olivier Deschacht, DEF
12, Maxime Colin, DEF
14, Bram Nuytinck, DEF
22, Chancel Mbemba, DEF
24, Michael Heylen, DEF
37, Hervé Matthys, DEF
39, Anthony Vanden Borre, DEF
10, Dennis Praet, MID
16, Steven Defour, MID
19, Sacha Kljestan, MID
31, Youri Tielemans, MID
32, Leander Dendoncker, MID
34, Samuel Bastien, MID
40, Wigor, MID
7, Andy Najar, STR
9, Matías Suárez, STR
15, Cyriac, STR
17, Oswal Alvarez, STR
18, Frank Acheampong, STR
20, Ibrahima Conté, STR
35, Aaron Leya Iseka, STR
38, Andy Kawaya, STR
42, Nathan Kabasele, STR
45, Aleksandar Mitrović, STR
