1, Tomáš Vaclík, GK
18, Germano Vailati, GK
23, Pascal Albrecht, GK
4, Philipp Degen, DEF
5, Arlind Ajeti, DEF
6, Walter Samuel, DEF
15, Ivan Ivanov, DEF
16, Fabian Schär, DEF
17, Marek Suchý, DEF
19, Behrang Safari, DEF
27, Naser Aliji, DEF
32, Michael Gonçalves, DEF
7, Luca Zuffi, MID
8, Geoffroy Serey Die, MID
10, Matías Delgado, MID
14, Yoichiro Kakitani, MID
20, Fabian Frei, MID
21, Marcelo Díaz, MID
24, Ahmed Hamoudi, MID
33, Mohamed Elneny, MID
34, Taulant Xhaka, MID
39, Davide Calla, MID
9, Marco Streller, STR
11, Shkelzen Gashi, STR
25, Derlis Gonzalez, STR
30, Giovanni Sio, STR
36, Breel Embolo, STR
38, Albian Ajeti, STR
