Source;Target;Weight
10;17;1
10;16;5
10;18;7
10;31;4
10;35;3
10;5;1
10;9;1
10;8;4
12;17;14
12;16;8
12;18;13
12;31;3
12;35;1
12;1;7
12;5;2
21;18;1
17;10;2
17;12;8
17;16;17
17;18;3
17;31;26
17;35;12
17;1;7
17;27;1
17;5;10
17;9;1
17;8;2
16;10;8
16;12;5
16;17;4
16;18;10
16;31;11
16;35;7
16;27;1
16;5;14
16;9;7
16;8;11
18;10;3
18;12;9
18;17;4
18;16;11
18;31;3
18;35;4
18;1;1
18;27;1
18;7;1
18;9;4
18;8;9
31;10;10
31;12;3
31;17;11
31;16;10
31;18;8
31;35;20
31;1;1
31;5;18
31;7;1
31;9;2
31;8;2
35;10;3
35;12;1
35;17;2
35;16;6
35;18;1
35;31;11
35;27;1
35;5;16
35;7;1
35;9;1
35;8;3
1;10;1
1;12;2
1;17;11
1;16;1
1;18;1
1;31;3
1;35;1
1;27;2
1;5;1
27;10;1
27;16;2
27;18;2
27;31;1
27;35;1
27;5;1
27;7;1
5;10;4
5;12;1
5;17;16
5;16;5
5;31;13
5;35;6
5;1;2
5;27;1
5;7;3
5;9;2
5;8;1
7;27;2
7;5;1
7;35;1
9;10;3
9;31;1
9;5;1
9;35;3
8;10;5
8;12;1
8;17;4
8;16;3
8;18;4
8;31;4
8;35;3
8;27;1
8;5;4
8;9;1
